budget,method,metric,n,mean,median,std,min,max
96,greedy_objective,unique_coverage,24,0.18531236690582664,0.16666666666666666,0.04624738924803124,0.11764705882352941,0.2777777777777778
96,greedy_objective,optimality_gap,24,0.24184491445859368,0.2427313641574055,0.12288821755730595,0.0,0.5268931988988477
96,greedy_token_aware,score,24,2.181865977899482,2.2088089413940906,0.2793365312877753,1.4044791370630265,2.5073237746953962
96,greedy_token_aware,relevance_sum,24,2.9300668267533183,2.9991128891706467,0.44700957251743867,1.6257560849189758,3.6104138493537903
96,greedy_token_aware,redundancy_total,24,7.482008488538365,7.591481603682041,1.9961104883307312,2.212769478559494,11.395448297262192
96,greedy_token_aware,redundancy_per_pair,24,0.37223513458988494,0.37834260896557853,0.0778294916021426,0.19545025449423564,0.5426403951077234
96,greedy_token_aware,n_selected,24,6.833333333333333,7.0,0.6370220572706061,4.0,7.0
96,greedy_token_aware,tokens_used,24,91.5,92.0,4.4818474451657915,74.0,96.0
96,greedy_token_aware,budget_utilization,24,0.953125,0.9583333333333334,0.046685910887143654,0.7708333333333334,1.0
96,greedy_token_aware,unique_coverage,24,0.2712679881894278,0.2777777777777778,0.043024456846210625,0.1875,0.3333333333333333
96,greedy_token_aware,optimality_gap,24,0.007332736558478153,0.0,0.015083649036203222,-1.1518770191957794e-08,0.05249512718296378
96,ilp,score,24,2.1968774900150794,2.2088089399039745,0.2701058445494967,1.4044791370630265,2.5266619443893434
96,ilp,relevance_sum,24,2.9034173575540385,3.000366985797882,0.46720221853373184,1.6257560849189758,3.514827698469162
96,ilp,redundancy_total,24,7.065398675389588,7.330524422228336,2.3051903855772693,2.212769478559494,10.580645397305489
96,ilp,redundancy_per_pair,24,0.3797201359467137,0.3783426142874218,0.06243087777898151,0.27241163629861104,0.503840257014547
96,ilp,n_selected,24,6.541666666666667,7.0,0.931532942621143,4.0,7.0
96,ilp,tokens_used,24,92.45833333333333,93.0,2.484371439474251,86.0,96.0
96,ilp,budget_utilization,24,0.963107638888889,0.96875,0.025878869161190116,0.8958333333333334,1.0
96,ilp,unique_coverage,24,0.2700400664651825,0.2777777777777778,0.0393211145957607,0.21052631578947367,0.35294117647058826
96,ilp,optimality_gap,24,0.0,0.0,0.0,0.0,0.0
128,top_k,score,24,1.846805881941691,1.820072640478611,0.382406622793228,1.0248598217964173,2.682798138260841
128,top_k,relevance_sum,24,2.3230002503842115,2.1559086441993713,0.7343279836880371,1.0885068774223328,4.169312953948975
128,top_k,redundancy_total,24,4.761943684425205,3.3583600372076035,3.7601951933500706,0.6364705562591553,14.865148156881332
128,top_k,redundancy_per_pair,24,0.6111464839330111,0.6078467791279157,0.13301697922395506,0.3605626941555076,0.7949813405672709
128,top_k,n_selected,24,4.375,4.0,1.7646898976258147,2.0,9.0
128,top_k,tokens_used,24,122.95833333333333,122.0,3.7239432894699678,117.0,128.0
128,top_k,budget_utilization,24,0.9606119791666666,0.953125,0.029093306948984123,0.9140625,1.0
128,top_k,unique_coverage,24,0.19202532986878962,0.1715686274509804,0.06549100167227018,0.1,0.3333333333333333
128,top_k,optimality_gap,24,0.2417311435518937,0.26649586185656077,0.12394241278856916,0.012619090735136838,0.426472051238426
128,mmr,score,24,1.9297963695600628,1.9926753483712671,0.29046706871043554,1.1494235850870609,2.453127678669989
128,mmr,relevance_sum,24,2.3113805232569575,2.3212866485118866,0.43694264566830326,1.207311987876892,3.152090087532997
128,mmr,redundancy_total,24,3.8158415369689465,3.622831055894494,1.5744014257393897,0.5788840278983116,6.98962408863008
128,mmr,redundancy_per_pair,24,0.2795088490077649,0.28489983851710954,0.06642232872511863,0.17769136155645052,0.463385929663976
128,mmr,n_selected,24,5.708333333333333,5.5,1.2676293062133799,3.0,8.0
128,mmr,tokens_used,24,122.75,123.0,3.7212667314983645,117.0,128.0
128,mmr,budget_utilization,24,0.958984375,0.9609375,0.029072396339830973,0.9140625,1.0
128,mmr,unique_coverage,24,0.3162344177437057,0.30625,0.0813033622007063,0.15,0.47058823529411764
128,mmr,optimality_gap,24,0.20193904882782424,0.17159575765770466,0.11108646478512614,0.042226188428465976,0.5222455059035085
128,greedy_objective,score,24,1.9285086694639173,2.0509401485323906,0.39409647908813983,1.0248598217964173,2.575077536702156
128,greedy_objective,relevance_sum,24,2.3562249783426523,2.4582147300243378,0.6411067734774076,1.0885068774223328,3.506307452917099
128,greedy_objective,redundancy_total,24,4.277163088787347,4.088399037718773,2.5940742569034567,0.6364705562591553,10.75960537046194
128,greedy_objective,redundancy_per_pair,24,0.5370599611250871,0.5157689452171326,0.12917334244769751,0.2988779269572761,0.7949813405672709
128,greedy_objective,n_selected,24,4.541666666666667,5.0,1.6675722177612804,2.0,9.0
128,greedy_objective,tokens_used,24,122.33333333333333,121.0,3.8183386629432876,117.0,128.0
128,greedy_objective,budget_utilization,24,0.9557291666666666,0.9453125,0.029830770804244434,0.9140625,1.0
128,greedy_objective,unique_coverage,24,0.22671440652284303,0.25,0.07249766558384636,0.1,0.3888888888888889
128,greedy_objective,optimality_gap,24,0.20829445049164055,0.20166301030892173,0.13084395900858617,-6.4524725640640736e-09,0.41581082733778923
128,greedy_token_aware,score,24,2.3970990794477984,2.427295146510005,0.2887753565491583,1.4702097609639169,2.8081765562295913
128,greedy_token_aware,relevance_sum,24,3.471170605470737,3.5023010671138763,0.5726907416149155,1.8121394515037537,4.2704944014549255
128,greedy_token_aware,redundancy_total,24,10.740715260229384,10.977876618504524,3.2100678858863327,3.419296905398369,15.552322685718536
128,greedy_token_aware,redundancy_per_pair,24,0.353207676581824,0.3452457559960229,0.05394452058612779,0.25942333684199387,0.5002364785898299
128,greedy_token_aware,n_selected,24,8.25,9.0,1.1887150534341144,5.0,10.0
128,greedy_token_aware,tokens_used,24,119.16666666666667,120.0,6.273939658665815,98.0,127.0
128,greedy_token_aware,budget_utilization,24,0.9309895833333334,0.9375,0.04901515358332668,0.765625,0.9921875
128,greedy_token_aware,unique_coverage,24,0.3315957889003555,0.3333333333333333,0.04435653749984667,0.25,0.42105263157894735
128,greedy_token_aware,optimality_gap,24,0.01488746756867495,0.0065948982961847435,0.019806219309109505,-9.705987888314635e-09,0.06621367611692822
128,ilp,score,24,2.432613701093942,2.4433770213276147,0.2807058432833596,1.47020975202322,2.8081765562295913
128,ilp,relevance_sum,24,3.4177839905023575,3.4826455861330032,0.5782610842090475,1.8121394515037537,4.2704944014549255
128,ilp,redundancy_total,24,9.851702894084156,10.278972961008549,3.1644707775352403,3.419296994805336,15.545874617993832
128,ilp,redundancy_per_pair,24,0.37933806097775546,0.35621326484732213,0.058420820811885044,0.2988779269572761,0.5014743705590566
128,ilp,n_selected,24,7.666666666666667,7.5,1.203858530857692,5.0,10.0
128,ilp,tokens_used,24,122.66666666666667,122.5,6.424590439774397,98.0,128.0
128,ilp,budget_utilization,24,0.9583333333333334,0.95703125,0.050192112810737474,0.765625,1.0
128,ilp,unique_coverage,24,0.3130690287811031,0.3125,0.041565926879335476,0.25,0.3888888888888889
128,ilp,optimality_gap,24,0.0,0.0,0.0,0.0,0.0
192,top_k,score,24,2.422339753744503,2.435455799847841,0.3191797794607617,1.591005402803421,2.832114002108574
192,top_k,relevance_sum,24,3.5787140975395837,3.416606992483139,0.8166412706019989,1.7697108387947083,5.065633654594421
192,top_k,redundancy_total,24,11.56374343795081,10.464217439293861,5.386171003228237,1.7870543599128723,22.876757323741913
192,top_k,redundancy_per_pair,24,0.5308350420478121,0.5254202359134242,0.08792645762725872,0.3475580875362669,0.722100148598353
192,top_k,n_selected,24,7.0,7.0,1.7194539072421902,3.0,10.0
192,top_k,tokens_used,24,186.75,187.0,3.7677117954951176,180.0,192.0
192,top_k,budget_utilization,24,0.97265625,0.9739583333333334,0.019623498934870396,0.9375,1.0
192,top_k,unique_coverage,24,0.29648508526217504,0.28174603174603174,0.06167078931126665,0.17647058823529413,0.4375
192,top_k,optimality_gap,24,0.10512952367620021,0.08424088116816524,0.09823394297042172,0.007151891730717939,0.4666348846615608
192,mmr,score,24,2.0355710634379647,2.084663178026676,0.4166795587641051,1.0556118041276932,2.7698900690302253
192,mmr,relevance_sum,24,2.545207060718288,2.627778921276331,0.724359565716414,1.0923178791999817,4.172655284404755
