comparison,budget,n_pairs,wins,losses,ties,mean_diff,median_diff,std_diff,min_diff,max_diff,cohens_dz,rank_biserial,wilcoxon_p,n_nonzero
greedy_objective_vs_ilp,96,24,0,22,2,-0.5432477756403387,-0.48914474435150634,0.3028648244138189,-1.3312809944152835,0.0,-1.7936971607441374,-1.0,4.0099648164691383e-05,22
greedy_objective_vs_ilp,128,24,1,22,1,-0.5041050316300244,-0.4924799608066679,0.32229396579934444,-1.1676702171564102,1.4901161193847656e-08,-1.564115637038867,-0.9927536231884058,3.088394735450034e-05,23
greedy_objective_vs_ilp,192,24,3,19,2,-0.16404097179571775,-0.14676810018718234,0.16379841081291824,-0.6808335542678834,5.21540641784668e-08,-1.0014808506480355,-0.9525691699604744,9.149289441295772e-05,22
greedy_objective_vs_ilp,256,24,4,17,3,-0.17300947786619258,-0.07139299325644965,0.20777967009783468,-0.6032918736338613,1.7881393254981504e-08,-0.8326583528827903,-0.9047619047619048,0.00028104304823949435,21
greedy_objective_vs_ilp,384,24,2,18,4,-0.057277212031961657,-0.018793165683746338,0.09245101814858377,-0.3589872144162656,4.619359961210989e-08,-0.6195411708706972,-0.9523809523809523,0.0001890120699314349,20
greedy_objective_vs_ilp,512,24,7,8,9,-0.005195644777268212,0.0,0.00942477516384884,-0.028795026242733,4.917383211733295e-08,-0.5512751961656814,-0.5333333333333333,0.06914397389751893,15
greedy_objective_vs_ilp,768,24,7,11,6,-0.004974427400156948,0.0,0.00900311683708999,-0.028651041537523625,4.8801302554579706e-08,-0.5525228085082583,-0.6140350877192983,0.022231238286019233,18
greedy_objective_vs_ilp,1024,24,5,11,8,-0.00497443368658429,0.0,0.009003118065016413,-0.028651081025600433,4.619359961210989e-08,-0.5525234314002324,-0.7205882352941176,0.011285575373529616,16
greedy_objective_vs_ilp,2048,24,6,11,7,-0.004974431948115476,0.0,0.009003121478150888,-0.028651081025600433,4.619359961210989e-08,-0.5525230288392324,-0.673202614379085,0.014772349168537114,17
greedy_objective_vs_ilp,POOLED,216,35,139,42,-0.16242215630848444,-0.013531710207462577,0.2662568008181764,-1.3312809944152835,5.21540641784668e-08,-0.6100206860796792,-0.9006896551724138,6.346704273653264e-25,174
top_k_vs_ilp,96,24,0,23,1,-0.566698953602463,-0.5014718364924191,0.32175853222862744,-1.3312809944152835,0.0,-1.7612554037876818,-1.0,2.7015948487105505e-05,23
top_k_vs_ilp,128,24,0,24,0,-0.5858078191522509,-0.6324825536459686,0.31650862304421395,-1.1676702171564102,-0.034287145733833846,-1.8508431571875936,-1.0,1.1920928955078125e-07,24
top_k_vs_ilp,192,24,0,24,0,-0.2913039805367588,-0.23837353214621548,0.2873981016046547,-1.3919519692659377,-0.014931835234165192,-1.0135904827147295,-1.0,1.1920928955078125e-07,24
top_k_vs_ilp,256,24,0,19,5,-0.1385221211860577,-0.07792668081819998,0.15832182587276133,-0.5315446116030218,0.0,-0.8749401443701382,-1.0,0.0001318338889828333,19
top_k_vs_ilp,384,24,1,20,3,-0.11388411887067679,-0.07283066175878039,0.12675787541211253,-0.44623283743858355,1.9371509729637637e-08,-0.8984382114359296,-0.9913419913419913,6.898751069615868e-05,21
top_k_vs_ilp,512,24,0,23,1,-0.10964462589084488,-0.07683999501168715,0.10565195932196697,-0.4276723712682724,0.0,-1.037790747985189,-1.0,2.7015948487105505e-05,23
top_k_vs_ilp,768,24,1,21,2,-0.08227567414675542,-0.06917899805121142,0.07084434263110752,-0.2522933632135391,2.9802322387695312e-08,-1.1613584245558155,-0.9920948616600791,4.61253801792603e-05,22
top_k_vs_ilp,1024,24,1,21,2,-0.08227568043318277,-0.06917899805121142,0.07084434249738446,-0.25229334533214587,1.639127722441458e-08,-1.161358515483722,-0.9920948616600791,4.61253801792603e-05,22
top_k_vs_ilp,2048,24,1,21,2,-0.08227567869471396,-0.06917899805121142,0.07084434084858633,-0.25229334533214587,2.60770320892334e-08,-1.1613585179733623,-0.9920948616600791,4.61253801792603e-05,22
top_k_vs_ilp,POOLED,216,4,196,16,-0.22807651694596712,-0.11640659011900434,0.27640514606362254,-1.3919519692659377,2.9802322387695312e-08,-0.82515293291055,-0.9986069651741294,1.7710032865478792e-34,200
