seed,beta_target,redundancy,accepted,beta_hat,D,pearson_r_relevance_tokens,spearman_rho_relevance_tokens,n_usable,n_below_threshold,n_relevance_clipped_low,n_relevance_clipped_high,relevance_mean,relevance_median,relevance_std,relevance_min,relevance_max,tokens_mean,tokens_std,tokens_min,tokens_max,tokens_cv,tokens_total,similarity_mean,similarity_std,similarity_min,similarity_max
3,-0.5,low,True,-0.5378196861290157,0.16666666666666685,-0.22716585180722892,-0.23239709300074873,13,12,0,1,0.14202781473596104,0.053917713762200135,0.22646817261468663,0.011092882036658758,0.95,97.48,44.94915646223705,27,182,0.4611115763462972,2437,0.047992392788571044,0.13303782887069748,-0.28342423833620445,0.6582094656427081
3,-0.5,high,True,-0.5378196861290157,0.16666666666666685,-0.22716585180722892,-0.23239709300074873,13,12,0,1,0.14202781473596104,0.053917713762200135,0.22646817261468663,0.011092882036658758,0.95,97.48,44.94915646223705,27,182,0.4611115763462972,2437,0.14122707409027982,0.2523196878625265,-0.1871533307238917,0.7976027522101009
3,0.0,low,True,-0.03958170583148561,0.22000000000000008,-0.16946703164899501,-0.00692574118214152,15,10,0,1,0.15057641193011648,0.06519968201877809,0.23527738283601513,0.00830378821285117,0.95,97.48,44.94915646223705,27,182,0.4611115763462972,2437,0.05005369928037767,0.1345075417465257,-0.2832640857359692,0.714135811193168
3,0.0,high,True,-0.03958170583148561,0.22000000000000008,-0.16946703164899501,-0.00692574118214152,15,10,0,1,0.15057641193011648,0.06519968201877809,0.23527738283601513,0.00830378821285117,0.95,97.48,44.94915646223705,27,182,0.4611115763462972,2437,0.14262393390113898,0.25156102068006825,-0.1907068081121625,0.8419941270179174
3,0.5,low,True,0.45427751271736455,0.28666666666666685,-0.10869951968689837,0.2023855478781355,14,11,0,1,0.15629444610877755,0.0790668806338745,0.23423906086864324,0.006586847678740767,0.95,97.48,44.94915646223705,27,182,0.4611115763462972,2437,0.051836918470642715,0.13512638024106843,-0.2828908714013658,0.697290596858247
3,0.5,high,True,0.45427751271736455,0.28666666666666685,-0.10869951968689837,0.2023855478781355,14,11,0,1,0.15629444610877755,0.0790668806338745,0.23423906086864324,0.006586847678740767,0.95,97.48,44.94915646223705,27,182,0.4611115763462972,2437,0.14424934149505741,0.2510198642620682,-0.19669408323132062,0.828837404701792
3,1.0,low,True,0.9434688078433532,0.26666666666666683,-0.030470320077628045,0.38514816240687005,16,9,0,1,0.15895820121144794,0.0813684505939577,0.2233898206859427,0.00564502117531405,0.95,97.48,44.94915646223705,27,182,0.4611115763462972,2437,0.05312531862411783,0.13466583585536362,-0.28222599443115254,0.6084791299286672
3,1.0,high,True,0.9434688078433532,0.26666666666666683,-0.030470320077628045,0.38514816240687005,16,9,0,1,0.15895820121144794,0.0813684505939577,0.2233898206859427,0.00564502117531405,0.95,97.48,44.94915646223705,27,182,0.4611115763462972,2437,0.14589345280845692,0.25068396664212134,-0.2038598256705589,0.7837821547256791
3,1.5,low,True,1.4268914560769024,0.2266666666666668,0.08440743328778931,0.5498268971822351,17,8,0,1,0.15951109647399195,0.08759720115438926,0.20783889281793846,0.005323043849906127,0.95,97.48,44.94915646223705,27,182,0.4611115763462972,2437,0.05385566647956478,0.13380338986369877,-0.28111489259587263,0.4788416336544722
3,1.5,high,True,1.4268914560769024,0.2266666666666668,0.08440743328778931,0.5498268971822351,17,8,0,1,0.15951109647399195,0.08759720115438926,0.20783889281793846,0.005323043849906127,0.95,97.48,44.94915646223705,27,182,0.4611115763462972,2437,0.14715091078224074,0.2504524509991924,-0.2107752285853666,0.7823973472393094
