seed,beta,redundancy,w_sat,w_sat_proven,w_sat_status,w_sat_n_selected,corpus_token_mass,budget_tight,budget_medium,budget_loose,ordered,max_rho_dev,min_token,tight_affords_one,runtime_s
6,0.5,high,1071,True,proven_optimal,7,2728,268,643,1606,True,0.00046685340802987696,44,True,0.02681483398191631
6,1.0,low,1473,True,proven_optimal,10,2728,368,884,2210,True,0.0003394433129666474,44,True,0.01866783306468278
6,1.0,high,1334,True,proven_optimal,8,2728,334,800,2001,True,0.00037481259370314435,44,True,0.033468375098891556
6,1.5,low,1682,True,proven_optimal,10,2728,420,1009,2523,True,0.00029726516052319685,44,True,0.020003499928861856
6,1.5,high,1334,True,proven_optimal,8,2728,334,800,2001,True,0.00037481259370314435,44,True,0.11192937497980893
6,2.0,low,1682,True,proven_optimal,10,2728,420,1009,2523,True,0.00029726516052319685,44,True,0.019026167108677328
6,2.0,high,1496,True,proven_optimal,8,2728,374,898,2244,True,0.0002673796791443639,44,True,0.035657749976962805
7,-0.5,low,645,True,proven_optimal,10,2367,161,387,968,True,0.0007751937984497026,28,True,0.16153416701126844
7,-0.5,high,341,True,proven_optimal,6,2367,85,205,512,True,0.0014662756598240456,28,True,0.028018124983645976
7,0.0,low,1037,True,proven_optimal,11,2367,259,622,1556,True,0.00048216007714563247,28,True,0.09365395898930728
7,0.0,high,435,True,proven_optimal,6,2367,109,261,652,True,0.0011494252873562871,28,True,0.06245149997994304
7,0.5,low,1133,True,proven_optimal,11,2367,283,680,1700,True,0.00044130626654892424,28,True,0.07534137496259063
7,0.5,high,685,True,proven_optimal,6,2367,171,411,1028,True,0.0007299270072993469,28,True,0.06911058304831386
7,1.0,low,1213,True,proven_optimal,10,2367,303,728,1820,True,0.00041220115416318315,28,True,0.04865741601679474
7,1.0,high,949,True,proven_optimal,7,2367,237,569,1424,True,0.0005268703898841931,28,True,0.065804332960397
7,1.5,low,1497,True,proven_optimal,11,2367,374,898,2246,True,0.00033400133600536286,28,True,0.02124979195650667
7,1.5,high,949,True,proven_optimal,7,2367,237,569,1424,True,0.0005268703898841931,28,True,0.09138829202856869
7,2.0,low,1497,True,proven_optimal,11,2367,374,898,2246,True,0.00033400133600536286,28,True,0.016518291900865734
7,2.0,high,1111,True,proven_optimal,8,2367,278,667,1666,True,0.0004500450045004101,28,True,0.050164833082817495
8,-0.5,low,1000,True,proven_optimal,13,1904,250,600,1500,True,0.0,28,True,0.018843499943614006
8,-0.5,high,767,True,proven_optimal,10,1904,192,460,1150,True,0.0006518904823988869,28,True,0.08501950011122972
8,0.0,low,950,True,proven_optimal,12,1904,238,570,1425,True,0.000526315789473708,28,True,0.01813566603232175
8,0.0,high,767,True,proven_optimal,10,1904,192,460,1150,True,0.0006518904823988869,28,True,0.03233454201836139
8,0.5,low,950,True,proven_optimal,12,1904,238,570,1425,True,0.000526315789473708,28,True,0.01828662503976375
8,0.5,high,746,True,proven_optimal,9,1904,186,448,1119,True,0.0006702412868632712,28,True,0.03063445899169892
8,1.0,low,1048,True,proven_optimal,13,1904,262,629,1572,True,0.0001908396946564972,28,True,0.028239290928468108
8,1.0,high,696,True,proven_optimal,8,1904,174,418,1044,True,0.0005747126436781436,28,True,0.027343541965819895
8,1.5,low,1028,True,proven_optimal,12,1904,257,617,1542,True,0.00019455252918287869,28,True,0.03611895896028727
8,1.5,high,696,True,proven_optimal,8,1904,174,418,1044,True,0.0005747126436781436,28,True,0.025008916039951146
8,2.0,low,1067,True,proven_optimal,12,1904,267,640,1600,True,0.0004686035613870043,28,True,0.02528104104567319
8,2.0,high,744,True,proven_optimal,8,1904,186,446,1116,True,0.0005376344086021057,28,True,0.06796991708688438
9,-0.5,low,837,True,proven_optimal,12,2291,209,502,1256,True,0.0005973715651135247,29,True,0.017037417041137815
