adv_feasible_at_medium,adversarial_cap,adversarial_indices,adversarial_tokens_after,arm,beta_hat,beta_target,budget_loose,budget_medium,budget_tight,budgets_ordered,corpus_token_mass,elapsed_s,gamma,min_token,n_topics_used,n_unique_relevance,n_unique_tokens,pearson,redundancy_level,relevance_max,relevance_mean,relevance_min,relevance_std,rho_c,rho_dev_loose,rho_dev_medium,rho_dev_tight,rho_realized_loose,rho_realized_medium,rho_realized_tight,rl_condition,saturation_fraction,seed,similarity_max,similarity_mean,similarity_min,similarity_std,spearman,tight_affords_min_token,tokens_cv,tokens_max,tokens_mean,tokens_min,tokens_std,tokens_total,validation_ok,w_sat,w_sat_n_selected,w_sat_pre_intervention,w_sat_pre_proven,w_sat_proven,w_sat_status
,,,,synthetic,0.4366994546126344,0.5,2264,905,377,True,1968,0.019086122512817383,0.15,24,5,25,24,0.34047338162526675,low,0.3931873779589222,0.21419893325364764,0.06400767122378753,0.09138007321165943,0.5,0.00033134526176281653,0.0002650762094101866,0.0001656726308813805,1.5003313452617628,0.5997349237905898,0.24983432736911862,B,0.7667682926829268,1,0.43927450769081167,0.0692591074327479,-0.27951440477790535,0.1190211673853651,0.23581458408902495,True,0.38521307056314663,155,78.72,24,30.323972914730902,1968,True,1509,18,,,True,proven_optimal
,,,,synthetic,0.4366994546126344,0.5,1706,682,284,True,1968,0.06585311889648438,0.7,24,5,25,24,0.34047338162526675,high,0.3931873779589222,0.21419893325364764,0.06400767122378753,0.09138007321165943,0.5,0.0004397537379068339,0.00017590149516266695,0.0002198768689533892,1.5004397537379068,0.5998240985048373,0.2497801231310466,B,0.5777439024390244,1,0.8064293145652528,0.1551789721612778,-0.16412119215904236,0.25711340135747773,0.23581458408902495,True,0.38521307056314663,155,78.72,24,30.323972914730902,1968,True,1137,13,,,True,proven_optimal
,,,,synthetic,-0.5747327299475349,-0.5,2493,997,416,True,2641,0.018962860107421875,0.15,38,5,25,23,-0.5920549295539632,low,0.3931873779589222,0.21419893325364764,0.06400767122378753,0.09138007321165943,-0.5,0.0,0.00012033694344160129,0.00030084235860411424,1.5,0.5998796630565584,0.2503008423586041,C,0.6293070806512685,1,0.43927450769081167,0.0692591074327479,-0.27951440477790535,0.1190211673853651,-0.5667564867385811,True,0.5053142276705888,257,105.64,38,53.381395011121,2641,True,1662,18,,,True,proven_optimal
,,,,synthetic,-0.5747327299475349,-0.5,1648,659,275,True,2641,0.0709538459777832,0.7,38,5,25,23,-0.5920549295539632,high,0.3931873779589222,0.21419893325364764,0.06400767122378753,0.09138007321165943,-0.5,0.00045495905368508893,0.00036396724294807115,0.00022747952684259998,1.499545040946315,0.5996360327570519,0.2502274795268426,C,0.4161302536917834,1,0.8064293145652528,0.1551789721612778,-0.16412119215904236,0.25711340135747773,-0.5667564867385811,True,0.5053142276705888,257,105.64,38,53.381395011121,2641,True,1099,13,,,True,proven_optimal
True,722,"[4, 15, 16, 17]","[722, 270, 462, 384]",synthetic,-0.1540941879739902,,4694,1877,782,True,3825,0.0372929573059082,0.15,32,5,25,22,-0.23556864404378985,low,0.3931873779589222,0.21419893325364764,0.06400767122378753,0.09138007321165943,0.0,0.00015979546180888704,0.00012783636944713184,7.989773090444352e-05,1.5001597954618089,0.5998721636305528,0.24992010226909556,D,0.8180392156862745,1,0.43927450769081167,0.0692591074327479,-0.27951440477790535,0.1190211673853651,-0.1555342395072794,True,0.43602274810901587,208,92.04,32,40.13153373595382,2301,True,3129,18,1605,True,True,proven_optimal
True,509,"[4, 15, 16, 17]","[509, 270, 462, 384]",synthetic,-0.1540941879739902,,3664,1466,611,True,3612,0.21228981018066406,0.7,32,5,25,22,-0.23556864404378985,high,0.3931873779589222,0.21419893325364764,0.06400767122378753,0.09138007321165943,0.0,0.00020466639377825224,8.18665575113009e-05,0.00010233319688907061,1.4997953336062217,0.6000818665575113,0.25010233319688907,D,0.6763565891472868,1,0.8064293145652528,0.1551789721612778,-0.16412119215904236,0.25711340135747773,-0.1555342395072794,True,0.43602274810901587,208,92.04,32,40.13153373595382,2301,True,2443,13,1132,True,True,proven_optimal
,,,,synthetic,0.01242400214861706,0.0,2530,1012,422,True,2182,0.03114604949951172,0.15,30,5,25,24,0.04600037591847842,low,0.45615175634056193,0.25920205928809975,0.08640247438318971,0.10191205515451497,0.0,0.00029638411381149865,0.00011855364552459946,0.00014819205690574933,1.4997036158861885,0.5998814463544754,0.25014819205690575,A,0.7731439046746105,2,0.4583189844474463,0.08363501519061785,-0.2834487785753492,0.13690597443916538,0.03000577089550399,True,0.5430837719538963,224,87.28,30,47.40035161613607,2182,True,1687,18,,,True,proven_optimal
,,,,synthetic,0.01242400214861706,0.0,1539,616,256,True,2182,0.36798715591430664,0.7,30,5,25,24,0.04600037591847842,high,0.45615175634056193,0.25920205928809975,0.08640247438318971,0.10191205515451497,0.0,0.0,0.0003898635477582735,0.0004873294346978696,1.5,0.6003898635477583,0.24951267056530213,A,0.4702108157653529,2,0.8112924001372745,0.16537245553836907,-0.1623697704290685,0.25961101264307873,0.03000577089550399,True,0.5430837719538963,224,87.28,30,47.40035161613607,2182,True,1026,12,,,True,proven_optimal
,,,,synthetic,0.42239646169148565,0.5,2612,1045,435,True,2130,0.028374195098876953,0.15,41,5,25,20,0.43907750998401296,low,0.45615175634056193,0.25920205928809975,0.08640247438318971,0.10191205515451497,0.5,0.0002871912693853673,0.00022975301550831606,0.00014359563469271142,1.5002871912693854,0.6002297530155083,0.2498564043653073,B,0.8173708920187793,2,0.4583189844474463,0.08363501519061785,-0.2834487785753492,0.13690597443916538,0.4157846006630242,True,0.5301540683600626,208,85.2,41,45.16912662427734,2130,True,1741,18,,,True,proven_optimal
,,,,synthetic,0.42239646169148565,0.5,1778,711,296,True,2130,0.17133212089538574,0.7,41,5,25,20,0.43907750998401296,high,0.45615175634056193,0.25920205928809975,0.08640247438318971,0.10191205515451497,0.5,0.00042194092826997043,0.0,0.00021097046413501297,1.50042194092827,0.6,0.249789029535865,B,0.5563380281690141,2,0.8112924001372745,0.16537245553836907,-0.1623697704290685,0.25961101264307873,0.4157846006630242,True,0.5301540683600626,208,85.2,41,45.16912662427734,2130,True,1185,12,,,True,proven_optimal
