beta_hat_mean,budget_level,ci95_hi,ci95_lo,cohens_dz,gap_greedy_objective_mean,gap_greedy_token_aware_mean,ilp_optimum_mean,losses,max_diff,mean_delta_gap,mean_diff,median_delta_gap,median_diff,min_diff,n,n_pairs,rank_biserial,redundancy_level,rl_condition,score_greedy_objective_mean,score_greedy_token_aware_mean,sd_delta_gap,std_diff,ties,wilcoxon_p,wins
0.40510188884710685,medium,0.16201160929654257,0.06893271614580825,0.7384044341889359,0.1619539060341698,0.053220778818366954,2.6078671070558648,9,0.5223033299365869,0.10873312721580283,0.10873312721580283,0.06871831769129355,0.06871831769129355,-0.1416527841061137,40,40,0.7390243902439024,high,B,2.4459132010216953,2.554646328237498,0.1472541634114581,0.1472541634114581,0,1.430089287168812e-05,31
0.40510188884710685,loose,-0.05683051419215731,-0.09867810961660728,-1.1374849167098948,0.0019105187874462026,0.07520556190528731,2.9622908429409973,39,0.0014072379813088176,-0.0732950431178411,-0.0732950431178411,-0.059782710352395574,-0.059782710352395574,-0.2994429884005876,40,40,-0.9975609756097561,high,B,2.9603803241535513,2.88708528103571,0.06443605716534906,0.06443605716534906,0,3.637978807091713e-12,1
-0.4387683646339128,tight,0.27563551069422715,0.147854293772392,0.9839749951866562,0.2269267832418705,0.022664556811952737,2.4059342337469634,4,0.6844412337218475,0.2042622264299177,0.2042622264299177,0.14974910097185012,0.14974910097185012,-0.12956617477951848,40,40,0.9153846153846154,low,C,2.179007450505093,2.3832696769350106,0.20758883856715277,0.20758883856715277,1,1.2008968042209744e-08,35
-0.4387683646339128,medium,0.0878641436319181,0.0383757978184541,0.7468880325245326,0.07777290264127536,0.018492238069877476,3.4851326099376365,7,0.3598096260311534,0.05928066457139788,0.05928066457139788,0.056985968811196885,0.056985968811196885,-0.06556105063202411,40,40,0.7807807807807807,low,C,3.4073597072963606,3.4666403718677588,0.07937021613671487,0.07937021613671487,4,4.604215754513094e-05,29
-0.4387683646339128,loose,-0.002423656270975581,-0.013744923512550146,-0.3713363100704321,0.0012336095733954445,0.007582953834401529,3.8172285586953665,14,0.02530326390728277,-0.006349344261006085,-0.006349344261006085,0.0,0.0,-0.08652926159071717,40,40,-0.8,low,C,3.8159949491219707,3.8096456048609655,0.01709863562709984,0.01709863562709984,25,0.005227850434311217,1
-0.4387683646339128,tight,0.24018220775744423,0.10582228744739937,0.7509940238054723,0.18654956924615756,0.02389291663350243,1.830804415772261,4,0.9138978103537088,0.1626566526126551,0.1626566526126551,0.15030210335671557,0.15030210335671557,-0.1988139463899672,40,40,0.8666666666666667,high,C,1.644254846526103,1.8069114991387587,0.21658847801269263,0.21658847801269263,10,2.807269822428798e-05,26
-0.4387683646339128,medium,0.09564105853537985,0.0340404144708995,0.6097927495863087,0.08404817330653683,0.024018313955250337,2.6989792549328584,11,0.4038213968709785,0.060029859351286484,0.060029859351286484,0.039882968424259424,0.039882968424259424,-0.0702972518955125,40,40,0.6487179487179487,high,C,2.614931081626321,2.674960940977608,0.09844305199104371,0.09844305199104371,1,0.00041459556702841535,28
-0.4387683646339128,loose,-0.0168994544702788,-0.03199564080691385,-0.9834687317665659,0.0019105187874462026,0.025569695065810492,2.9622908429409973,28,0.006639350917302167,-0.02365917627836429,-0.02365917627836429,-0.018675237887392893,-0.018675237887392893,-0.09604549040127397,40,40,-0.978494623655914,high,C,2.9603803241535513,2.936721147875187,0.024056866796228742,0.024056866796228742,10,1.1495769361218543e-06,2
0.23795522820777176,tight,1.3372931404997086,1.0400156821327193,2.485565882314273,1.216708098383632,0.022167965115970183,2.6186866522877374,0,2.1408441967352814,1.1945401332676622,1.1945401332676622,1.24751694173961,1.24751694173961,0.014782796770505868,40,40,1.0,low,D,1.4019785539041054,2.596518687171767,0.48059081506036916,0.48059081506036916,0,1.8189894035458565e-12,40
0.23795522820777176,medium,0.9385008907518895,0.696672165595334,2.0759809049628215,0.8749131109883539,0.05839389466440913,3.44092929931094,0,1.4978199293055692,0.8165192163239448,0.8165192163239448,0.8940780667332706,0.8940780667332706,0.060629307283150524,40,40,1.0,low,D,2.5660161883225863,3.382535404646531,0.39331730574784246,0.39331730574784246,0,1.8189894035458565e-12,40
0.23795522820777176,loose,-0.02618877187038966,-0.04950011939660943,-0.9628809552934325,0.0012336095733954445,0.03791741051178277,3.8172285586953665,34,8.881784197001252e-16,-0.03668380093838732,-0.03668380093838732,-0.023446905449195476,-0.023446905449195476,-0.1367982054600363,40,40,-1.0,low,D,3.8159949491219707,3.7793111481835835,0.03809796085042324,0.03809796085042324,6,1.0644460772155738e-07,0
0.24463693263289393,tight,0.9319477884542722,0.6824763104415732,1.9736802884181794,0.8365221798086706,0.03604467963450543,2.0993832953649907,0,1.6496542590982426,0.8004775001741653,0.8004775001741653,0.7785640929636932,0.7785640929636932,0.019257052479435766,40,40,1.0,high,D,1.2628611155563203,2.0633386157304856,0.40557607271627255,0.40557607271627255,0,1.8189894035458565e-12,40
0.24463693263289393,medium,0.5797230461047522,0.3917500225800065,1.5883327023788836,0.570722604988888,0.08900347808771891,2.669218100833162,1,1.2028495070963854,0.48171912690116914,0.48171912690116914,0.48678394235969447,0.48678394235969447,-0.1689433690512625,40,40,0.9853658536585366,high,D,2.0984954958442743,2.5802146227454434,0.3032860345818524,0.3032860345818524,0,2.546585164964199e-11,39
0.24463693263289393,loose,-0.11469111358278368,-0.1595885841288759,-1.8613962130902377,0.0019105187874462026,0.13883419516108925,2.9622908429409973,40,-0.01389206163895107,-0.13692367637364306,-0.13692367637364306,-0.1372138862715897,-0.1372138862715897,-0.30714416384041954,40,40,-1.0,high,D,2.9603803241535513,2.823456647779908,0.07355966204869742,0.07355966204869742,0,1.8189894035458565e-12,0
